Age,ZIP,Current,Prior
57,14202,2231,1550
73,10001,0,300
73,05401,1200,1200
40,15213,2706,1950
51,05401,2253,1550
72,19103,0,0
57,11561,2364,1450
56,10001,2832,2700
85,11561,1350,0
48,02115,2478,2200
43,94610,0,0
32,10001,100,0
71,19103,0,0
54,10001,0,0
32,07960,1891,2000
52,14202,2450,2450
46,20005,2959,2400
71,14202,1315,1450
25,05401,1700,0
57,05401,1247,1900
45,10583,0,800
84,19103,2900,0
78,10001,1501,1750
77,02115,2928,2550
58,33139,1516,1300
79,19103,0,650
38,15213,2200,0
58,21208,3088,2150
48,07302,1500,0
76,07960,1853,2400
64,20005,0,1400
58,33139,339,800
63,90034,1061,1500
47,33139,2200,0
74,33139,2861,2700
53,10001,1650,0
56,60614,1400,0
51,10001,3500,0
75,15213,2822,2300
48,21208,0,1550
85,33139,2421,1750
42,07960,3200,0
68,06511,2300,0
65,19103,2789,3500
41,90034,1700,1700
54,07302,613,1200
44,06511,670,1200
52,02115,1939,2350
73,15213,114,700
40,11561,1837,1200
65,02115,2900,2900
40,15213,0,0
49,20005,2039,1450
62,11561,0,2850
54,21208,4460,3550
61,10001,2102,1850
43,10001,2400,0
69,06511,1888,2100
51,10001,1452,900
80,19103,1627,2250
78,07450,2207,1550
51,07302,2159,1750
61,10001,2018,2300
53,10001,0,1700
64,07450,854,1600
33,33139,2000,0
57,15213,978,1150
62,20005,1897,1550
59,90034,1550,1550
58,19103,339,800
59,06511,630,1250
47,10001,2025,2600
28,21208,0,0
79,10001,350,350
78,19103,2329,2000
80,19103,2986,2850
72,06511,3190,2350
76,20005,1226,800
82,21208,1650,1650
79,07960,1208,2000
59,10001,2447,1800
61,15213,2961,2400
59,20005,2834,2000
80,10001,1950,1950
58,10583,2855,3150
71,10001,0,0
44,19103,2018,1300
81,14202,0,1350
30,21208,1894,2000
31,21208,1893,1200
50,20005,2823,2250
66,07450,0,2700
51,07960,0,2750
66,90034,2500,0
65,07960,3495,2550
77,07960,1900,0
40,14202,0,1850
76,21208,723,1450
72,10001,747,1400
75,06511,2100,0
53,20005,1600,0
58,94610,0,0
43,10001,700,0
69,07302,2000,0
41,21208,2678,1750
37,06511,1450,0
75,33139,3363,2600
25,21208,1106,1500
73,10001,2130,2500
59,10001,0,1300
85,07302,0,2600
75,07450,517,1150
51,15213,1850,0
58,10001,1500,0
68,11561,0,1300
72,10001,0,0
60,06511,2150,0
67,21208,3166,2500
68,07450,4023,3050
82,20005,2900,2900
83,20005,2345,1550
72,20005,1591,1000
43,10001,1009,1250
47,07450,2851,2750
80,19103,1445,2000
80,11561,1750,0
41,05401,850,0
51,19103,0,0
84,07960,2350,0
72,90034,2300,0
27,07302,1652,1950
79,10001,0,2650
65,02115,1800,1800
35,19103,0,1750
50,07450,1160,1900
82,06511,3384,2850
79,07960,2152,1800
63,20005,1335,1600
45,21208,0,2700
57,11561,1063,500
40,19103,0,2600
46,15213,1226,1600
55,15213,0,2200
45,94610,831,1600
66,90034,0,3050
69,19103,1915,2350
46,19103,2162,1200
74,10001,872,1500
43,11561,3089,2250
45,07302,1250,0
34,20005,0,2150
60,94610,1904,1750
42,10001,2048,1500
75,07450,2236,3000
68,21208,697,950
68,33139,0,1300
75,19103,1315,1500
60,10583,1758,2500
25,02115,2211,1800
66,15213,1450,0
59,11561,2100,2100
63,07960,900,0
53,10001,0,0
42,06511,1698,2450
55,19103,1550,1550
66,10001,3415,2700
75,19103,1751,1950
69,14202,2833,2200
79,60614,0,0
61,33139,2138,2250
44,07302,1713,1950
50,15213,0,2100
31,19103,750,0
43,90034,0,0
83,21208,1413,2000
61,10001,923,1600
63,07960,1850,0
72,10583,0,0
78,90034,2350,2350
27,07960,2150,0
46,19103,1500,0
47,19103,0,1450
32,20005,3293,2950
52,10001,2249,1750
63,07960,1650,1650
77,19103,1263,1950
49,07450,811,1200
62,60614,1250,0
66,07302,2508,1650
49,14202,750,0
66,20005,0,0
33,07302,1842,1650
73,10583,2800,0
68,19103,2227,2050
52,05401,1450,0
47,19103,1179,1750
65,07302,1542,2000
29,10001,1889,1400
50,10001,1482,1700
75,02115,2763,2600
40,21208,2900,0
58,10001,2565,2200
64,15213,2429,1650
82,14202,2150,0
71,05401,2700,0
30,19103,2239,1500
29,90034,940,100
45,07302,1009,1450
69,07302,2400,0
50,07450,1600,0
55,19103,0,1350
72,10001,0,0
34,21208,1486,1200
47,20005,1064,1600
54,07960,2050,0
74,06511,1700,0
44,11561,2050,2050
66,07302,2900,0
79,33139,2201,2400
72,33139,0,2800
43,10001,1800,0
79,21208,1650,1650
56,21208,1654,1450
28,20005,1390,2050
61,94610,1627,1450
67,21208,3200,3200
65,10583,2652,2350
39,14202,2358,1900
49,10001,2200,2200
81,21208,1092,1850
40,11561,650,0
74,15213,1786,2100
44,07450,1650,1650
60,21208,0,2000
55,14202,0,1950
81,21208,2300,0
55,10001,0,2400
52,20005,1050,0
70,94610,3290,2650
82,07302,0,0
56,06511,1033,1350
62,19103,1700,0
38,90034,361,1000
66,02115,2339,1900
53,33139,0,0
31,21208,3295,2350
44,21208,0,0
79,21208,1228,1900
83,14202,2950,2850
60,15213,2800,0
79,07960,1679,1300
80,20005,3866,2950
57,15213,1380,1850
59,21208,0,950
60,10001,3525,2600
59,07960,2529,2000
58,06511,0,0
49,21208,1689,1550
56,11561,755,1000
67,19103,2277,2450
53,06511,2927,2300
77,10001,0,1700
39,10001,588,950
57,19103,1744,1250
75,06511,3350,0
70,05401,1945,2550
38,11561,590,1100
81,21208,1850,1850
84,07960,1750,1750
77,19103,2311,1900
73,07960,1700,1700
79,07302,2950,0
56,15213,2769,1950
49,07450,2200,2200
37,10583,2096,1500
80,10001,1250,1250
84,02115,3414,2900
71,21208,2950,0
55,20005,0,0
56,20005,2571,2100
79,21208,1931,1100
44,07960,0,1350
74,02115,3265,2300
57,14202,2448,2150
76,19103,1650,0
47,07450,1110,1250
34,07960,0,1050
36,20005,2730,2050
47,21208,1750,0
73,07302,0,0
79,11561,3075,2150
58,07302,0,1800
71,21208,0,2900
42,06511,3233,2700
55,02115,2725,2600
39,14202,720,1300
73,15213,2100,2250
65,33139,1247,1350
32,20005,1050,0
38,15213,2650,2650
43,90034,1865,2400
80,94610,0,1450
41,14202,0,2350
58,07960,2254,2000
54,10583,0,800
62,33139,2497,1900
48,02115,1900,0
84,19103,1993,1600
36,10583,2014,1650
32,19103,1441,1150
63,94610,3500,0
32,19103,0,1250
74,14202,2464,1850
73,10001,1693,2400
63,19103,750,0
44,05401,1350,0
47,02115,3058,2850
48,05401,505,1250
34,10583,1100,0
61,10001,2700,0
50,10001,1600,1600
38,07960,0,1400
52,10001,2250,2250
40,07450,0,1850
61,19103,1950,1950
62,10583,0,1550
76,14202,0,0
52,07960,3585,2650
30,33139,0,1200
60,10583,1148,1800
77,21208,0,0
60,33139,0,2550
69,21208,3586,2950
61,14202,1864,2000
75,02115,3448,3050
73,10001,1169,550
41,15213,1203,1700
69,07302,1991,1700
60,11561,1908,1650
47,06511,2192,1500
67,07960,2450,0
81,02115,1201,1950
51,07960,2867,2300
25,07450,0,0
52,20005,1172,1700
77,14202,3546,2800
59,06511,1539,2250
78,20005,2488,2650
81,06511,0,2000
61,20005,2334,2900
56,21208,1604,2150
53,05401,2152,1850
61,06511,1915,1750
51,21208,1814,1450
40,21208,0,900
56,20005,2300,2300
62,07450,2429,1750
68,21208,744,1500
44,10001,0,1900
66,07960,2410,1850
83,14202,0,2150
68,10583,2210,2350
34,02115,1575,900
40,21208,0,0
48,15213,0,2150
40,15213,2387,2050
43,94610,2300,2300
40,05401,0,0
48,19103,0,2450
80,33139,0,0
35,20005,0,0
85,20005,3050,0
47,20005,1662,2300
66,60614,0,0
52,11561,2667,2100
49,06511,0,0
61,07302,1064,1350
85,07960,3528,3000
38,10001,100,550
55,05401,516,1100
56,19103,1453,2000
70,11561,1255,950
46,05401,2595,1800
56,21208,1850,0
43,07450,2359,2000
54,10001,3183,2600
66,94610,3550,0
72,20005,1374,1500
56,02115,2400,0
67,14202,1533,2000
41,14202,0,0
58,19103,0,0
50,11561,1903,2050
55,06511,405,650
75,07960,3076,2200
54,20005,1100,1100
58,20005,1610,1300
38,21208,2730,2100
71,10001,2206,2550
79,11561,0,0
82,07960,1247,1850
77,02115,2005,1650
30,05401,2476,2100
68,20005,1950,1950
45,15213,2300,0
83,10001,1205,1850
54,06511,1531,1850
68,14202,0,0
60,33139,745,1500
40,14202,1500,1500
61,19103,3528,2850
76,20005,0,1700
45,19103,0,1550
49,10583,1418,2150
66,15213,1750,1750
63,07450,1822,1050
25,14202,0,0
76,90034,0,2400
26,07450,1132,1800
85,10001,3350,3350
70,20005,1834,2000
45,07302,0,0
77,21208,0,1700
75,21208,0,1700
36,20005,0,2250
85,10583,364,950
60,19103,0,1250
68,07450,0,2550
84,02115,1841,2150
66,21208,1850,1850
69,07960,1947,2350
81,20005,1349,1650
58,10001,0,1850
75,10001,1222,1450
28,07960,1759,2250
29,15213,800,0
69,19103,0,2300
72,20005,1400,0
72,11561,2640,1650
41,15213,1925,1050
31,07302,3880,2950
28,07960,441,1200
44,14202,3050,0
74,05401,0,2450
74,20005,2450,0
44,05401,1404,850
63,14202,2713,2200
56,05401,1801,1350
49,15213,1542,2000
27,10001,1550,1550
63,19103,0,1150
27,07302,2477,1550
63,15213,3151,2450
77,33139,2200,0
70,10001,2935,2250
55,10001,1406,1850
65,19103,1850,0
32,20005,1985,1850
47,33139,3062,2400
45,10583,2653,1700
27,02115,0,1200
43,07960,0,2850
61,07960,1450,0
51,33139,2256,3050
69,10583,2700,2700
68,07960,1600,0
74,02115,2912,1950
85,07450,2470,1600
58,10001,400,400
79,94610,1850,0
69,05401,0,2200
64,21208,2650,0
74,07302,2154,1750
69,10001,624,950
50,07960,2379,2500
74,60614,1474,1250
37,10001,0,0
83,20005,0,1350
53,02115,0,0
48,11561,2184,1600
67,19103,3068,2200
56,07960,2311,2000
45,06511,2350,0
45,05401,2154,2600
61,07960,953,850
63,14202,800,800
56,10001,2004,2800
67,10001,1877,2400
72,19103,2650,0
80,07302,2536,1700
50,21208,2744,2000
46,14202,1809,1350
33,14202,1550,0
60,07960,500,0
75,11561,3044,2050
63,07960,0,1500
61,06511,1550,1550
78,20005,2615,2300
49,15213,3168,2900
42,10001,2550,2550
